Jahr,Bund_Ertrag,Bund_Ausgaben,Kantone_Ertrag,Kantone_Ausgaben,Gemeinden_Ertrag,Gemeinden_Ausgaben
2000,52529.47245,55730.42581,57427.86236,57314.25248,35066.85235,33957.15675
2001,48889.56593,51909.53187,59704.81505,60365.967,36019.21779,34954.39526
2002,48529.74052,59216.21766,61513.81005,62446.2585,36145.77708,35192.87711
2003,49356.60505,52118.08771,61954.32396,64437.74413,35881.08817,36200.99054
2004,51128.20877,53322.42071,63489.68577,66040.41049,36285.86167,36048.87427
2005,54130.70286,53922.01013,66147.22323,67151.11736,36835.80376,36766.77966
2006,58013.03849,54824.64701,69092.13083,67382.97978,38467.68542,37454.56303
2007,60480.87,64027.67078,73726.82664,70266.55579,39911.17192,37793.71594
2008,67734.16221,62015.43479,77470.99016,73406.0853,41354.1397,41004.35605
2009,64601.65649,62415.65934,77909.14693,75542.41795,41989.19998,42324.43293
2010,67095.92662,63738.5032,79337.99552,77985.88574,42294.86542,42924.6732
2011,67671.0241,67502.79276,81550.56882,80216.57656,43361.25748,43505.36564
2012,67109.24505,66677.52872,82665.41546,83617.50224,43453.58492,44307.27263
2013,69180.35025,68248.46198,84210.21717,88639.53564,44023.02236,45400.50018
2014,68607.10822,68626.72073,85649.38605,87713.31989,45001.83916,46739.3979
2015,72851.1674,70684.64214,89106.62148,88642.70184,46068.4136,46697.26848
2016,72537.97664,72165.78487,90197.64327,89361.84973,46851.60454,47188.51412
2017,78079.94894,72891.50123,92404.37954,90139.46264,47958.18965,48558.51162
2018,78365.57622,73047.9599,95446.50335,92629.73033,48981.93058,48762.80524
2019,80287.61398,74330.90651,97238.56624,93754.47868,49328.31938,49910.31229
2020,74940.37492,91660.68255,100409.5431,104137.78,49505.78369,50792.12849
2021,85993.6461,92744.79889,108450.1295,105520.5208,51397.49705,51602.99894
2022,82880.52321,83522.72968,109540.169,104341.6472,52747.69657,52873.36632
2023,85805.07094,87231.9218,111142.1377,107656.4106,53795.31071,54403.70665
2024,87802.94791,89677.7699,113002.6542,108971.7816,54605.6818,55108.38689
2025,89816.68662,90811.08691,114019.0161,110682.4071,55553.54647,56034.26431
2026,93844.05284,93964.6754,117372.7041,112603.5718,56478.36227,56828.61648
2027,95476.01935,96067.28658,120453.105,115854.7641,57474.33631,57832.37478