Year;Receipts;Outlays
2000;2030000;1790000
2001;1990000;1860000
2002;1850000;2010000
2003;1780000;2160000
2004;1880000;2290000
2005;2150000;2470000
2006;2410000;2660000
2007;2570000;2730000
2008;2520000;2980000
2009;2100000;3520000
2010;2160000;3460000
2011;2300000;3600000
2012;2450000;3540000
2013;2780000;3450000
2014;3020000;3510000
2015;3250000;3690000
2016;3270000;3850000
2017;3320000;3980000
2018;3330000;4110000
2019;3460000;4450000
2020;3420000;6550000
2021;4050000;6820000
2022;4900000;6270000
2023;4800000;6370000
2024;5040000;6880000
2025;5420000;7090000
2026;5770000;7290000
2027;6080000;7590000
2028;6400000;8000000000000