month;total;quote
2000-01;92631;2.346878177
2000-02;88702;2.247333916
2000-03;81548;2.066081782
2000-04;75642;1.916448695
2000-05;69788;1.768133068
2000-06;65962;1.671198392
2000-07;65140;1.650372385
2000-08;63708;1.614091555
2000-09;62329;1.579153522
2000-10;62953;1.594963045
2000-11;65721;1.665092471
2000-12;69724;1.766511578
2001-01;72295;1.831649856
2001-02;69766;1.767575681
2001-03;65625;1.662660236
2001-04;63032;1.596964572
2001-05;61097;1.547939847
2001-06;59176;1.499269823
2001-07;60166;1.52435224
2001-08;61079;1.547483803
2001-09;62170;1.575125133
2001-10;68298;1.730382763
2001-11;77633;1.966892223
2001-12;86027;2.179560718
2002-01;93714;2.374316821
2002-02;94472;2.393521338
2002-03;92371;2.340290875
2002-04;92025;2.331524697
2002-05;90930;2.303782023
2002-06;90705;2.298081474
2002-07;92948;2.354909617
2002-08;96362;2.441405953
2002-09;101889;2.581436782
2002-10;110197;2.791926401
2002-11;120627;3.056178534
2002-12;129809;3.28881162
2003-01;138944;3.520253925
2003-02;142023;3.598262777
2003-03;141808;3.592815585
2003-04;141624;3.588153802
2003-05;140609;3.562437991
2003-06;140485;3.559296355
2003-07;141699;3.590053986
2003-08;143672;3.64004147
2003-09;146688;3.716454167
2003-10;151259;3.832263995
2003-11;156598;3.967531698
2003-12;162835;4.125550926
2004-01;168163;4.260539936
2004-02;165979;4.205206603
2004-03;160849;4.075234077
2004-04;155061;3.928590611
2004-05;148816;3.770368696
2004-06;144103;3.650961189
2004-07;143125;3.626182801
2004-08;145923;3.697072299
2004-09;146341;3.707662653
2004-10;147911;3.74743982
2004-11;152409;3.861400136
2004-12;158416;4.013592137
2005-01;162032;4.105206299
2005-02;160451;4.065150439
2005-03;155681;3.944298792
2005-04;150671;3.817366559
2005-05;145370;3.683061616
2005-06;140661;3.563755451
2005-07;139902;3.544525598
2005-08;142359;3.606775597
2005-09;142728;3.616124498
2005-10;144066;3.650023765
2005-11;146762;3.718329014
2005-12;151764;3.845058561
2006-01;154204;3.906877852
2006-02;150099;3.802874496
2006-03;143249;3.629324437
2006-04;136360;3.454786283
2006-05;129486;3.280628165
2006-06;122837;3.112170597
2006-07;121725;3.083997215
2006-08;123074;3.118175176
2006-09;121876;3.087822917
2006-10;122765;3.110346421
2006-11;124133;3.145005761
2006-12;128580;3.257673953
2007-01;131057;3.320430668
2007-02;126395;3.202315285
2007-03;117915;2.987467912
2007-04;112829;2.858610161
2007-05;106200;2.690659308
2007-06;99781;2.528028968
2007-07;99779;2.527978296
2007-08;100757;2.552756684
2007-09;99681;2.52549539
2007-10;102039;2.585237148
2007-11;104820;2.655695938
2007-12;109012;2.761903507
2008-01;111877;2.834490503
2008-02;108457;2.747842152
2008-03;103777;2.629270725
2008-04;100880;2.555872985
2008-05;95166;2.411104366
2008-06;91477;2.317640692
2008-07;92163;2.335021034
2008-08;94039;2.382550948
2008-09;95980;2.431727687
2008-10;100471;2.545510653
2008-11;107652;2.727446853
2008-12;118762;3.008927314
2009-01;128430;3.253873587
2009-02;132402;3.354507285
2009-03;134713;3.413058261
2009-04;136709;3.463628468
2009-05;135128;3.423572608
2009-06;140253;3.553418455
2009-07;145364;3.682909601
2009-08;150831;3.821420283
2009-09;154409;3.912071686
2009-10;158138;4.006548791
2009-11;163950;4.153800316
2009-12;172740;4.376501778
2010-01;175765;4.065905773
2010-02;172999;4.001920933
2010-03;166032;3.840755937
2010-04;158570;3.668140292
2010-05;151074;3.494738138
2010-06;144473;3.342039682
2010-07;142330;3.292466468
2010-08;142879;3.305166278
2010-09;140040;3.239492757
2010-10;139365;3.223878235
2010-11;141668;3.27715267
2010-12;148636;3.438340799
2011-01;148784;3.441764427
2011-02;143325;3.315483429
2011-03;134905;3.120706729
2011-04;123448;2.855676249
2011-05;114684;2.652941926
2011-06;110378;2.553332844
2011-07;109200;2.526082613
2011-08;111687;2.58361345
2011-09;111344;2.57567896
2011-10;115178;2.664369443
2011-11;121109;2.80156904
2011-12;130662;3.022555003
2012-01;134317;3.107104746
2012-02;133154;3.080201504
2012-03;126392;2.923778696
2012-04;123158;2.848967788
2012-05;118860;2.749543767
2012-06;114868;2.657198329
2012-07;116294;2.690185452
2012-08;119823;2.771820484
2012-09;120347;2.78394198
2012-10;125536;2.903977169
2012-11;132067;3.055056341
2012-12;142309;3.291980682
2013-01;148158;3.427283404
2013-02;146001;3.377386333
2013-03;138993;3.215272899
2013-04;135851;3.142590192
2013-05;131290;3.037082291
2013-06;126498;2.926230754
2013-07;128516;2.972912391
2013-08;129956;3.00622337
2013-09;131072;3.032039379
2013-10;133443;3.086886832
2013-11;139073;3.217123509
2013-12;149437;3.456870031
2014-01;153260;3.410894878
2014-02;149259;3.32185018
2014-03;142846;3.179124949
2014-04;137087;3.050954888
2014-05;130310;2.900128615
2014-06;126632;2.818272479
2014-07;127054;2.827664347
2014-08;128434;2.85837709
2014-09;129965;2.89245043
2014-10;132397;2.946576074
2014-11;136552;3.039048136
2014-12;147369;3.279787076
2015-01;150946;3.359395395
2015-02;149921;3.336583394
2015-03;145108;3.229467141
2015-04;141131;3.140956577
2015-05;136349;3.034530247
2015-06;133256;2.965693644
2015-07;133754;2.976776938
2015-08;136983;3.048640305
2015-09;138226;3.076304029
2015-10;141269;3.144027852
2015-11;148143;3.297012919
2015-12;158629;3.530385251
2016-01;163644;3.641997138
2016-02;161417;3.592433894
2016-03;155324;3.456830458
2016-04;149540;3.328104007
2016-05;144778;3.222122789
2016-06;139127;3.09635647
2016-07;139310;3.100429247
2016-08;142858;3.179392157
2016-09;142675;3.17531938
2016-10;144531;3.216625795
2016-11;149228;3.321160403
2016-12;159372;3.546921326
2017-01;164466;3.547507603
2017-02;159809;3.447056793
2017-03;152280;3.284657363
2017-04;146327;3.156252022
2017-05;139778;3.014991049
2017-06;133603;2.8817972
2017-07;133926;2.888764263
2017-08;135578;2.924397662
2017-09;133169;2.872435884
2017-10;134800;2.907616315
2017-11;137317;2.961907638
2017-12;146654;3.163305364
2018-01;149161;3.217380988
2018-02;143930;3.104549082
2018-03;130413;2.812989366
2018-04;119781;2.583658679
2018-05;109392;2.359569466
2018-06;106579;2.298893466
2018-07;106052;2.287526153
2018-08;107893;2.327236255
2018-09;106586;2.299044455
2018-10;107315;2.314768879
2018-11;110474;2.382908048
2018-12;119661;2.581070296
2019-01;123962;2.673842238
2019-02;119473;2.577015164
2019-03;112341;2.423178965
2019-04;107298;2.314402191
2019-05;101370;2.186536097
2019-06;97222;2.097064565
2019-07;97578;2.104743438
2019-08;99552;2.147322334
2019-09;99098;2.137529619
2019-10;101684;2.193309268
2019-11;106330;2.29352282
2019-12;117277;2.529648037
2020-01;121018;2.610340868
2020-02;117822;2.541403608
2020-03;135624;2.925390189
2020-04;153413;3.309096363
2020-05;155998;3.364854441
2020-06;150289;3.241712132
2020-07;148870;3.211104506
2020-08;151111;3.259442554
2020-09;148560;3.20441785
2020-10;149118;3.21645383
2020-11;153270;3.306011873
2020-12;163545;3.527642147
2021-01;169753;3.661547815
2021-02;167953;3.622722073
2021-03;157968;3.407347058
2021-04;151279;3.263066289
2021-05;142966;3.083756074
2021-06;131821;2.843360026
2021-07;128279;2.766959595
2021-08;126355;2.725459191
2021-09;120294;2.594724292
2021-10;116733;2.517914034
2021-11;116244;2.507366374
2021-12;121728;2.625655466
2022-01;122268;2.637303189
2022-02;117970;2.544595946
2022-03;109500;2.361899264
2022-04;104391;2.251698868
2022-05;98004;2.113932196
2022-06;92511;2.012307727
2022-07;91474;1.989750811
2022-08;91372;1.987532097
2022-09;89526;1.947377737
2022-10;89636;1.949770467
2022-11;91327;1.986553253
2022-12;96941;2.108669494
2023-01;100776;2.192088765
2023-02;98452;2.141536905
2023-03;92755;2.01761524
2023-04;90534;1.969303845
2023-05;88076;1.915837204
2023-06;85099;1.851081228
2023-07;87601;1.905504961
2023-08;89881;1.955099729
2023-09;90826;1.975655455
2023-10;93563;2.03519093
2023-11;98011;2.131944232
2023-12;106859;2.324406737
2024-01;113175;2.461792947