year;sector;debt;;
2000;Bund;104488;;
2001;Bund;104954;;
2002;Bund;120297;;
2003;Bund;121634;;
2004;Bund;124468;;
2005;Bund;128030;;
2006;Bund;120483;;
2007;Bund;114941;;
2008;Bund;114900;;
2009;Bund;105908;;
2010;Bund;104047;;
2011;Bund;104200;;
2012;Bund;105412;;
2013;Bund;104850;;
2014;Bund;102532;;
2015;Bund;98207;;
2016;Bund;92890;;
2017;Bund;97076;;
2018;Bund;90981;;
2019;Bund;88013;;
2020;Bund;96405;;
2021;Bund;100468;;
2022;Bund;109561;;
2023;Bund;111050;;
2024;Bund;112521;;
2025;Bund;112597;;
2026;Bund;111059;;
2027;Bund;107967;;
2000;Kantone;57655;;
2001;Kantone;56863;;
2002;Kantone;58524;;
2003;Kantone;63357;;
2004;Kantone;63593;;
2005;Kantone;55973;;
2006;Kantone;52316;;
2007;Kantone;50109;;
2008;Kantone;45065;;
2009;Kantone;41399;;
2010;Kantone;40901;;
2011;Kantone;39385;;
2012;Kantone;42954;;
2013;Kantone;45662;;
2014;Kantone;50886;;
2015;Kantone;51600;;
2016;Kantone;52631;;
2017;Kantone;51997;;
2018;Kantone;51047;;
2019;Kantone;51429;;
2020;Kantone;56864;;
2021;Kantone;55909;;
2022;Kantone;51732;;
2023;Kantone;52167;;
2024;Kantone;51133;;
2025;Kantone;50460;;
2026;Kantone;49557;;
2027;Kantone;48728;;
2000;Gemeinden;43695;;
2001;Gemeinden;43614;;
2002;Gemeinden;42956;;
2003;Gemeinden;41289;;
2004;Gemeinden;41624;;
2005;Gemeinden;42058;;
2006;Gemeinden;39156;;
2007;Gemeinden;38197;;
2008;Gemeinden;38716;;
2009;Gemeinden;38867;;
2010;Gemeinden;38853;;
2011;Gemeinden;39319;;
2012;Gemeinden;39903;;
2013;Gemeinden;41541;;
2014;Gemeinden;42708;;
2015;Gemeinden;43890;;
2016;Gemeinden;43604;;
2017;Gemeinden;44425;;
2018;Gemeinden;44596;;
2019;Gemeinden;45249;;
2020;Gemeinden;46104;;
2021;Gemeinden;46281;;
2022;Gemeinden;46415;;
2023;Gemeinden;47306;;
2024;Gemeinden;48096;;
2025;Gemeinden;48859;;
2026;Gemeinden;49499;;
2027;Gemeinden;50138;;